text,label,language
आपकी ट्रेन टिकट auto-cancel हो जाएगी। भुगतान सत्यापित करें।,1,Hindi
आपका WhatsApp बंद किया जाएगा क्योंकि आपका अकाउंट misuse हुआ है।,1,Hindi
आपका Instagram verification असफल हुआ। अभी सत्यापन करें।,1,Hindi
आपके Facebook पर community violation दर्ज हुआ है।,1,Hindi
आपके आधार से जुड़ा नया नंबर detect हुआ है।,1,Hindi
आयकर विभाग: आपका रिफंड अटका हुआ है। विवरण अपडेट करें।,1,Hindi
आपके बैंक खाते की लिमिट 24 घंटे में लॉक हो जाएगी।,1,Hindi
पार्सल डिलीवरी असफल। verification पूरा करें।,1,Hindi
राशन कार्ड निलंबन रोकने के लिए पहचान सत्यापित करें।,1,Hindi
आपका scholarship form reject होने वाला है।,1,Hindi
PAN-Aadhaar linking असफल। पेनल्टी लागू होगी।,1,Hindi
आपके खाते में एक unauthorized device login detect हुआ है।,1,Hindi
"आपकी electricity meter reading गलत है, fine लगेगा।",1,Hindi
आपका mobile banking बंद होने वाला है।,1,Hindi
Netflix subscription आज expire हो रहा है। फिर से activate करें।,1,Hindi
आपका Amazon पैकेज रोक दिया गया है।,1,Hindi
आपकी loan EMI overdue है। तुरंत भुगतान करें।,1,Hindi
आपका DigiLocker suspend किया जाएगा।,1,Hindi
UPI fraud alert: आपका PIN leak हो चुका है।,1,Hindi
Google account लॉक किया जाएगा। verification आवश्यक।,1,Hindi
आपका IRCTC अकाउंट misuse हुआ है।,1,Hindi
आपका bank KYC invalid है। 6 घंटे में अपडेट करें।,1,Hindi
Credit score गिर रहा है। रिपोर्ट जांचें।,1,Hindi
आपके नाम पर नया SIM activate हुआ है।,1,Hindi
Paytm wallet बंद कर दिया जाएगा। KYC अपडेट करें।,1,Hindi
आपके mobile में virus पाया गया है।,1,Hindi
आपका bank account PAN से mismatched है।,1,Hindi
आपका courier गलत पते पर जा रहा है।,1,Hindi
आपकी insurance claim reject होने वाली है।,1,Hindi
आपका प्रमाणपत्र download error। पुनः लिंक खोलें।,1,Hindi
आपकी water bill payment overdue है।,1,Hindi
आपका bank password expire हो गया है।,1,Hindi
आधार biometric temporarily locked। unlock करें।,1,Hindi
आपका property tax overdue है। जुर्माना लगेगा।,1,Hindi
आपके PayPal account में suspicious activity है।,1,Hindi
आपकी flight booking pending है।,1,Hindi
आपका bank account freeze कर दिया जाएगा।,1,Hindi
आपके UPI पर daily limit reset हो चुकी है।,1,Hindi
"आपका ऑनलाइन फॉर्म reject हो गया है, details अपडेट करें।",1,Hindi
आपकी वोटर आईडी में त्रुटि है।,1,Hindi
आपकी job application incomplete दिखाई दे रही है।,1,Hindi
आपका eKYC invalid है। verify करें।,1,Hindi
आपकी bank cheque book request reject हो गई है।,1,Hindi
आपका COVID certificate expire हो गया है।,1,Hindi
आपका student portal ब्लॉक किया जाएगा।,1,Hindi
आपकी insurance details mismatch है।,1,Hindi
आपका online banking PIN reset आवश्यक है।,1,Hindi
आपकी gas subsidy रोक दी गई है।,1,Hindi
आपका LIC premium overdue है।,1,Hindi
आपका digital certificate corrupt है।,1,Hindi
आपका bank ATM PIN leak हो चुका है।,1,Hindi
आपका IRCTC wallet deactivate होने वाला है।,1,Hindi
आपका KYC document reject हो गया है।,1,Hindi
आपका income proof invalid है।,1,Hindi
आपका CIBIL score गलत दिख रहा है।,1,Hindi
आपकी payment gateway verification pending है।,1,Hindi
आपका debit card expire हो रहा है।,1,Hindi
आपके PF खाते में त्रुटि है।,1,Hindi
आपका IRCTC ID suspend किया गया है।,1,Hindi
आपकी digital signature invalid हो गई है।,1,Hindi
আজি ক্লাছ কিমান বেজাত আৰম্ভ হ'ব?,0,Assamese
কালিৰ প্ৰেজেন্টেচনটো খুব ভাল হৈছিল।,0,Assamese
"বিয়লি বাজারলৈ যাওঁ, কিবা লাগেনে?",0,Assamese
ঘৰ পালেহে মাতি জনাবা।,0,Assamese
পঢ়া-শুনা ঠিকেই চলিছে নেকি?,0,Assamese
ৰবিবাৰে সিনেমা চাবলৈ যাওঁ নেকি?,0,Assamese
আজি বতাহচাপ একেবাৰে ধুনীয়া।,0,Assamese
তোমাৰ বইখন টেবুলত ৰাখি দিছো।,0,Assamese
"লেপটপটো চার্জ দি লে, কালি কাম আছে।",0,Assamese
চপলা পৰা কিনিবলৈ যাবনে?,0,Assamese
ডকুমেন্টসমূহ প্ৰিন্ট কৰি থৈছো।,0,Assamese
খোৱা খাই নিলে নেকি?,0,Assamese
দহ মিনিটৰ ভিতৰতে আহি পৌঁছিম।,0,Assamese
আজি পৰীক্ষাটো কেনেকৈ হ'ল?,0,Assamese
তুমি পঠিয়াই দিয়া নোটবোৰে খুব সহায় কৰিলে।,0,Assamese
তোমাৰ ফ্লাইট কেতিয়া নামিব?,0,Assamese
কালি লাইব্ৰেৰীত যাবানে?,0,Assamese
মিটিং লিংকটো পঠিয়াই দিও।,0,Assamese
বিয়লি গৈ চমুতে কামটো কৰি দিম।,0,Assamese
ফোনটো অফ দেখুছিল।,0,Assamese
আজি ফ্রি নেকি?,0,Assamese
ফটোখন পঠিয়াই দিয়া।,0,Assamese
নতুন মোবাইলটো ল'লা নেকি?,0,Assamese
লাঞ্চ ব্রেকতে ফোন দিয়ো।,0,Assamese
প্ৰাক্টিক্যাল ভালেই হৈছে।,0,Assamese
ট্ৰেইন কিমান বেজাত?,0,Assamese
ফাইলটোৰ নাম সলনি কৰি দিয়া।,0,Assamese
নতুন এপিস'ডটো দেখিলা নেকি?,0,Assamese
কালিৰ বাবে অলপ আগতেই ওলাব লাগিব।,0,Assamese
গ্ৰুপত পঠিয়াই দিয়া অসমাইনমেন্টটো পৰি লিলা নেকি?,0,Assamese
তুমি দিয়া গানটো খুব ভাল লাগিল।,0,Assamese
মেইলটো চেক কৰি ল'ব।,0,Assamese
কালি জিমলৈ যাবানে?,0,Assamese
প্ৰজেক্টৰ ডাটাটো আপডেট কৰি দিছে।,0,Assamese
আজি অলপ আগতে ঘৰে যাব লাগিব।,0,Assamese
লেব ক'ট লৈ আহিব নাপাহৰিবা।,0,Assamese
বহুত ট্ৰেফিক আছিল।,0,Assamese
তোমাৰ ৰিজিউমটো খুব ভাল।,0,Assamese
এই কামটো কালি কৰিলেও চলিব নেকি?,0,Assamese
নতুন ছিডিউলটো আহিলেনে?,0,Assamese
ফ্রি হলে মেছেজ দিবা।,0,Assamese
অফিচত আছো।,0,Assamese
তোমাৰ নোটবোৰ খুব ক্লিয়াৰ।,0,Assamese
লিংকবোৰ সেভ কৰি থৈছো।,0,Assamese
"বহুত কাম আছে, বিয়লি কথা পাতিম।",0,Assamese
মিটিং অলপ পিছ হ'ব।,0,Assamese
পেনে টেবুলত ৰাখি দিছো।,0,Assamese
ইয়াত নেটৱৰ্ক খুব খাৰাপ।,0,Assamese
পানী খাই থাকিবা।,0,Assamese
দহ বেজাত দেখা কৰা চলিব নেকি?,0,Assamese
ডকুমেন্টবোৰ পৰি ল'বা।,0,Assamese
লেপটপটো ঠিক হৈছে নেকি?,0,Assamese
কেফেটেৰিয়াত আছো।,0,Assamese
লাঞ্চ খাই নিলে নেকি?,0,Assamese
ফোল্ডাৰটো আপডেট কৰি দিছো।,0,Assamese
আজি কলেজত ভিড় আছিল।,0,Assamese
ঘৰৰ পৰা কাম কৰিছো।,0,Assamese
নতুন আপডেটটো ইনষ্টল কৰিলে নেকি?,0,Assamese
আজি ছুটি নেকি?,0,Assamese
কালি প্ৰজেক্ট মিটিং আছে।,0,Assamese
আজি বহুত ব্যস্ত দিন।,0,Assamese
তোমাৰ অৱস্থা এতিয়া কেনেকৈ?,0,Assamese
বইখন পালে নেকি?,0,Assamese
লিংকটো খুলিছো।,0,Assamese
লেপটপ ৰিস্টাৰ্ট কৰি লোৱা।,0,Assamese
প্ৰিন্টাৰত কাগজ দিয়া।,0,Assamese
বিয়লিৰ পাৰ্ট খন কৰিম।,0,Assamese
হোমৱৰ্ক আজিকালি খুব ডাঙৰ।,0,Assamese
গ্ৰুপ ডিচছনটো ভালেই হ'ল।,0,Assamese
হাজিৰি দি দিছো।,0,Assamese
কালিৰ ভাইৱা নাপাহৰিবা।,0,Assamese
প্ৰজেক্টটো চমুকৈ ভাল লাগিছে।,0,Assamese
ফাইলটো আপলোড কৰিছো।,0,Assamese
লাইব্ৰেৰী বহুত খালী আছিল।,0,Assamese
নোটবোৰ লিখি ল'লোঁ।,0,Assamese
আপোনাৰ বেংক একাউণ্ট ব্লক কৰা হৈছে। তৎকাল সত্যাপন কৰক।,1,Assamese
"আপুনি ₹30,000 জিকিছে! তৎকাল দাবী কৰক।",1,Assamese
UPI KYC অসম্পূৰ্ণ। ৩০ মিনিটৰ ভিতৰত আপডেট নকৰিলে বন্ধ হ'ব।,1,Assamese
অচিনাক্ত লগিন চেষ্টা পোৱা গৈছে। আপোনাৰ একাউণ্ট সুৰক্ষিত কৰক।,1,Assamese
PAN তথ্য ভুল। অবিলম্বে সংশোধন কৰক।,1,Assamese
পাৰীচেল ৰখাই ৰখা হৈছে। ফী জমা নকৰিলে ডেলিভাৰী নহ'ব।,1,Assamese
Aadhaar ভেৰিফিকেশন অসম্পূৰ্ণ।,1,Assamese
আপোনাৰ বেংকত সন্দেহজনক লেনদেন।,1,Assamese
বিদ্যুত বিল বাকি। ছাৰ্ভিচ বন্ধ কৰিব লাগিব।,1,Assamese
SIM KYC আজিহে সম্পূৰ্ণ কৰক।,1,Assamese
আপোনাৰ Netflix একাউণ্ট বাতিল হ'ব। পুনৰ সক্ৰিয় কৰক।,1,Assamese
Facebook একাউণ্টত ব্লক দেখা গৈছে।,1,Assamese
আপোনাৰ WhatsApp Backup নষ্ট। তৎকাল Fix কৰক।,1,Assamese
Google Photos পূৰ্ণ। খালী কৰিবলৈ লগিন কৰক।,1,Assamese
Income Tax Refund ৰ বাবে তথ্য যাচাই কৰক।,1,Assamese
আপোনাৰ ATM Card Block। PIN প্ৰমাণীকৰণ কৰক।,1,Assamese
Cylinder বুকিং ৰ Payment Pending।,1,Assamese
IRCTC একাউণ্ট Verify কৰক।,1,Assamese
আপোনাৰ Courier address ভুল। ঠিক কৰক।,1,Assamese
আপুনি জরিমানাৰ নোটিছ পাইছা। পৰিশোধ কৰক।,1,Assamese
UPI PIN Reset অনুৰোধ পোৱা গৈছে।,1,Assamese
Mobile Banking লগিন বাধা। পুনৰ সক্ৰিয় কৰক।,1,Assamese
আপোনাৰ eKYC ৰ সময় শেষ।,1,Assamese
Credit Card payment Pending।,1,Assamese
অচিনাক্ত ডিভাইচত লগিন। অবিলম্বে সাইন-আউট কৰক।,1,Assamese
Loan Approval ৰ বাবে তথ্য যাচাই কৰক।,1,Assamese
Amazon Package Custom Charge।,1,Assamese
Fastag Recharge Pending।,1,Assamese
আপোনাৰ Recharge বাতিল হ'ব।,1,Assamese
Paytm Wallet Freeze। এখনেই Verify কৰক।,1,Assamese
Bank Document Missing। Upload কৰক।,1,Assamese
Your Device Infected! Scan Now.,1,Assamese
Ration Card বাতিল হ'ব। তথ্য চাওক।,1,Assamese
Voting ID অসম্পূৰ্ণ। আপডেট কৰক।,1,Assamese
Insurance Renewal Pending।,1,Assamese
Telegram OTP Leak চেষ্টা। সুৰক্ষাৰ বাবে লগিন কৰক।,1,Assamese
Hotstar Subscription শেষ হ'ব।,1,Assamese
Spotify একাউণ্ট Validate কৰক।,1,Assamese
আপুনি Gift Voucher জিকিছে!,1,Assamese
Google Pay বন্ধ হ'ব। Verify Now.,1,Assamese
Bank Locker OTP Verification Required.,1,Assamese
আপোনাৰ Card Expire হ'বলগীয়া।,1,Assamese
PAN-Aadhaar link অসম্পূৰ্ণ।,1,Assamese
Income Tax Audit Alert.,1,Assamese
IRCTC Refund Processing। তথ্য দিয়ক।,1,Assamese
Electric Meter Verification Required.,1,Assamese
School Fee Pending।,1,Assamese
আপোনাৰ Cloud Storage পূর্ণ।,1,Assamese
Bank Passbook Verification।,1,Assamese
আপোনাৰ UPI Block হ'বলগীয়া।,1,Assamese
কাষ্টমাৰ কেয়াৰ: Fraud attempt detected.,1,Assamese
Device Backup Failed। Restore Now.,1,Assamese
আপুনি GST Refund পাব।,1,Assamese
Password Expire হ’ব। Reset কৰক।,1,Assamese
আপোনাৰ Mailbox Block। Upgrade Now.,1,Assamese
Photo Storage Corrupt। Fix Now.,1,Assamese
eCommerce Order Payment Failed।,1,Assamese
আপোনাৰ Bank EMI Pending।,1,Assamese
Your Job Application Cancelled। Verify.,1,Assamese
আপুনি Free Data জিকিছে!,1,Assamese
আজ ক্লাস কখন শুরু হবে?,0,Bengali
তোমার প্রেজেন্টেশনটা দারুণ হয়েছে!,0,Bengali
"বাজারে যাচ্ছি, কিছু লাগবে?",0,Bengali
বাড়ি পৌঁছালে জানিও।,0,Bengali
পড়াশোনা কেমন চলছে?,0,Bengali
রবিবার সিনেমা দেখতে যাবে?,0,Bengali
আজ আবহাওয়া খুব সুন্দর।,0,Bengali
তোমার বইটা টেবিলে রেখে দিয়েছি।,0,Bengali
ল্যাপটপটা একটু চার্জ দিও।,0,Bengali
কিছু দরকার হলে আমাকে জানিও।,0,Bengali
ডকুমেন্টগুলো প্রিন্ট করে রেখেছি।,0,Bengali
তুমি খেয়ে নিয়েছ?,0,Bengali
আমি ১০ মিনিটের মধ্যে পৌঁছে যাব।,0,Bengali
আজকের পরীক্ষা ঠিকঠাকই হয়েছে।,0,Bengali
তুমি পাঠানো নোটগুলো খুব সাহায্য করেছে।,0,Bengali
ফ্লাইট কখন নামবে?,0,Bengali
আগামীকাল লাইব্রেরি যাবে?,0,Bengali
মিটিং লিংকটা পাঠিয়ে দিও।,0,Bengali
আমি সন্ধ্যার মধ্যে কাজ শেষ করবো।,0,Bengali
ফোনে নেটওয়ার্ক পাচ্ছি না।,0,Bengali
আজ তুমি ফ্রি আছো?,0,Bengali
ছবিটা পাঠিয়ে দাও।,0,Bengali
নতুন ফোনটা কেমন?,0,Bengali
লাঞ্চ ব্রেকের সময় কল দিও।,0,Bengali
আজ আমাদের প্র্যাকটিক্যাল ভালো হয়েছে।,0,Bengali
ট্রেন কখন ছাড়বে?,0,Bengali
ফাইলটার নাম বদলে দিও।,0,Bengali
নতুন এপিসোডটা দেখেছ?,0,Bengali
আগামীকাল একটু আগে বের হতে হবে।,0,Bengali
"গ্রুপে যা পাঠানো হয়েছে, দেখে নিয়েছ?",0,Bengali
তুমি পাঠানো গানটা খুব ভালো লেগেছে।,0,Bengali
মেইলটা দেখবে?,0,Bengali
আগামীকাল জিমে যাবে?,0,Bengali
প্রজেক্ট ডেটা আপডেট করে রেখেছি।,0,Bengali
আজ একটু আগে বাড়ি ফিরবো।,0,Bengali
ল্যাব কোট আনতে ভুলোনা।,0,Bengali
আজ রাস্তায় খুব ভিড় ছিল।,0,Bengali
তোমার সিভিটা খুব ভালো হয়েছে।,0,Bengali
এই কাজটা কাল করলেও চলবে?,0,Bengali
নতুন শিডিউল এসেছে?,0,Bengali
ফ্রি হলে মেসেজ দিও।,0,Bengali
আমি এখন অফিসে আছি।,0,Bengali
তোমার নোটগুলো খুব পরিষ্কার।,0,Bengali
লিংকগুলো আমি সেভ করে রেখেছি।,0,Bengali
"আজ অনেক কাজ আছে, পরে কথা বলবো।",0,Bengali
মিটিংটা একটু দেরি হবে।,0,Bengali
তোমার কলমটা টেবিলে রেখেছি।,0,Bengali
ইন্টারনেট খুব স্লো চলছে।,0,Bengali
জল খেয়ে নিও।,0,Bengali
চলো সন্ধ্যায় দেখা করি।,0,Bengali
ডকুমেন্টগুলো পড়ে নিও।,0,Bengali
ল্যাপটপ ঠিক হয়েছে?,0,Bengali
আমি ক্যান্টিনে আছি।,0,Bengali
লাঞ্চ করে নিয়েছ?,0,Bengali
ফোল্ডারটা আপডেট করেছি।,0,Bengali
আজ কলেজে অনেক ভিড় ছিল।,0,Bengali
আজ আমি বাড়ি থেকে কাজ করছি।,0,Bengali
তুমি নতুন আপডেট ইনস্টল করেছ?,0,Bengali
আজ কি ছুটি?,0,Bengali
আগামীকাল প্রজেক্ট মিটিং আছে।,0,Bengali
আজ খুবই ব্যস্ত একটা দিন।,0,Bengali
তোমার শরীর এখন কেমন?,0,Bengali
বইটা পেয়ে গেছ?,0,Bengali
লিংকটা খুলেছি।,0,Bengali
ল্যাপটপ রিস্টার্ট করে নিও।,0,Bengali
প্রিন্টারে কাগজ দিও।,0,Bengali
আজ রাতে পড়বো।,0,Bengali
হোমওয়ার্কটা একটু বেশি।,0,Bengali
গ্রুপ ডিসকাশন ভালো হয়েছে।,0,Bengali
উপস্থিতি দিয়ে দিয়েছি।,0,Bengali
"আগামীকাল ভাইভা আছে, ভুলে যেও না।",0,Bengali
তোমার প্রজেক্টটা সত্যিই ভালো।,0,Bengali
ফাইলটা আপলোড করছি।,0,Bengali
লাইব্রেরি আজ ফাঁকা ছিল।,0,Bengali
সব নোট লিখে ফেলেছি।,0,Bengali
সন্ধ্যায় একটু হাঁটতে যাবো।,0,Bengali
আপনার ব্যাংক অ্যাকাউন্ট সাসপেন্ড করা হয়েছে। তাৎক্ষণিক ভেরিফাই করুন।,1,Bengali
"আপনি ₹৫০,০০০ জিতেছেন! এখনই ক্লেইম করুন।",1,Bengali
আপনার UPI ব্লক হয়ে যাবে। ১৫ মিনিটের মধ্যে KYC আপডেট করুন।,1,Bengali
আপনার অ্যাকাউন্টে সন্দেহজনক লগইন হয়েছে। নিরাপত্তা নিশ্চিত করুন।,1,Bengali
PAN কার্ড ভুল পাওয়া গেছে। পুনরায় অ্যাক্টিভ করুন।,1,Bengali
ইন্ডিয়া পোস্ট: আপনার পার্সেল আটকে আছে। ফি পরিশোধ করুন।,1,Bengali
আপনার আধার তথ্য মেয়াদোত্তীর্ণ। তাৎক্ষণিক আপডেট প্রয়োজন।,1,Bengali
আপনার বিদ্যুৎ বিল জমা হয়নি। সংযোগ বিচ্ছিন্ন হতে পারে।,1,Bengali
SIM KYC অসম্পূর্ণ। সিম ব্লক হয়ে যাবে।,1,Bengali
"আপনার অ্যাকাউন্ট থেকে ₹২৫,০০০ ট্রান্সফার হয়েছে। যাচাই করুন।",1,Bengali
আপনার Netflix সাবস্ক্রিপশন বন্ধ হয়ে যাবে। এখনই পেমেন্ট করুন।,1,Bengali
আপনি নতুন ক্রেডিট কার্ডের জন্য যোগ্য! আবেদন করতে ক্লিক করুন।,1,Bengali
"₹৭৫,০০০ ব্যক্তিগত লোন ০% সুদে। এখনই আবেদন করুন।",1,Bengali
আপনার ফেসবুক অ্যাকাউন্ট স্থগিত করা হয়েছে। পুনরায় চালু করুন।,1,Bengali
আপনার Instagram-এ কপিরাইট ভায়োলেশন হয়েছে। নিশ্চিত করুন।,1,Bengali
ডেলিভারি চার্জ বাকি আছে। অর্ডার রিলিজ করতে পেমেন্ট করুন।,1,Bengali
আপনার OTT সাবস্ক্রিপশন মেয়াদোত্তীর্ণ। নবায়ন করুন।,1,Bengali
আপনার DigiLocker ব্লক করা হবে। পরিচয় যাচাই করুন।,1,Bengali
₹১ লাখ পর্যন্ত ফ্রি ক্রিপ্টো অফার! এখনই রেজিস্টার করুন।,1,Bengali
আপনার FASTag ব্ল্যাকলিস্টেড। পুনরায় এক্টিভ করতে ক্লিক করুন।,1,Bengali
আপনার ATM কার্ড আজ রাতেই ব্লক হবে। যাচাই করুন।,1,Bengali
Google Photos স্টোরেজ পূর্ণ। লগইন করে খালি করুন।,1,Bengali
আপনার ইনকাম ট্যাক্স রিফান্ড পাওয়া যাচ্ছে। তথ্য যাচাই করুন।,1,Bengali
নতুন ডিভাইস থেকে লগইন হয়েছে। চেক করুন।,1,Bengali
আপনার কার্ডের PIN ভুল। ঠিক করতে ক্লিক করুন।,1,Bengali
গ্যাস বুকিং পেমেন্ট ব্যর্থ হয়েছে। পুনরায় করুন।,1,Bengali
IRCTC KYC আপডেট করুন। না হলে অ্যাকাউন্ট লক হবে।,1,Bengali
আপনার ঠিকানা ভুল পাওয়া গেছে। ঠিক করুন।,1,Bengali
আপনার নামে কোর্ট নোটিশ আছে। দেখে নিন।,1,Bengali
আপনার UPI PIN রিসেট অনুরোধ এসেছে।,1,Bengali
মোবাইল ব্যাংকিং নিষ্ক্রিয় হবে। ভেরিফাই করুন।,1,Bengali
eKYC মেয়াদ শেষ। আপডেট করুন।,1,Bengali
ক্রেডিট কার্ড পেমেন্ট বাকি আছে।,1,Bengali
অচেনা ডিভাইস থেকে OTP ব্যবহৃত হয়েছে।,1,Bengali
লোন অ্যাপ্রুভালের জন্য তথ্য দিন।,1,Bengali
Amazon প্যাকেজে অতিরিক্ত চার্জ।,1,Bengali
FASTag Recharge Pending।,1,Bengali
মোবাইল রিচার্জ বাতিল হবে।,1,Bengali
PayWallet ফ্রিজ করা হয়েছে। যাচাই করুন।,1,Bengali
ব্যাংকের ডকুমেন্টস মিসিং। আপলোড করুন।,1,Bengali
আপনার ডিভাইসে ভাইরাস পাওয়া গেছে! স্ক্যান করুন।,1,Bengali
রেশন কার্ড নিষ্ক্রিয় হবে।,1,Bengali
ভোটার আইডি ভুল পাওয়া গেছে। ঠিক করুন।,1,Bengali
ইনস্যুরেন্স পলিসি আজই শেষ। নবায়ন করুন।,1,Bengali
Telegram OTP লিক হয়েছে। সিকিউর করুন।,1,Bengali
Hotstar সাবস্ক্রিপশন বন্ধ হবে।,1,Bengali
Spotify অ্যাকাউন্ট ভেরিফাই করুন।,1,Bengali
ফ্রি গিফট ভাউচার জিতেছেন!,1,Bengali
Google Pay ব্লক হতে যাচ্ছে। যাচাই করুন।,1,Bengali
ব্যাংক লকার ভেরিফিকেশন প্রয়োজন।,1,Bengali
আপনার কার্ড শীঘ্রই এক্সপায়ার হবে। আপডেট করুন।,1,Bengali
PAN–Aadhaar লিঙ্ক অসম্পূর্ণ।,1,Bengali
ইনকাম ট্যাক্স অডিট অ্যালার্ট।,1,Bengali
আপনার IRCTC রিফান্ড আটকে আছে।,1,Bengali
